task,encoding,seed,threshold,model_type,dim,levels,quant_bits,mem_kb,compression_vs_baseline,val_acc,val_drop_vs_baseline,geom_fid,id_acc,acc_shift_6,acc_shift_12,acc_shift_18,avg_ood_acc,nmi,hungarian_acc,auroc
shift,id,2,0.005,microhd,10000,16,2,170.9,11.2,0.9919999837875366,0.0013,0.5101799586684712,0.9926666617393494,0.9163333177566528,0.6103333234786987,0.3386666774749756,0.6217777729034424,,,
shift,id,2,0.005,baseline,10000,1024,16,1914.1,1.0,0.9933333396911621,0.0,0.5277738278231078,0.9940000176429749,0.9136666655540466,0.5773333311080933,0.30799999833106995,0.5996666649977366,,,
shift,id,2,0.01,microhd,4096,16,3,85.0,22.52,0.9873332977294922,0.006,0.46620126867244194,0.9886666536331177,0.8849999904632568,0.5370000004768372,0.3059999942779541,0.5759999950726827,,,
shift,id,2,0.01,baseline,10000,1024,16,1914.1,1.0,0.9933333396911621,0.0,0.5277738278231078,0.9940000176429749,0.9136666655540466,0.5773333311080933,0.30799999833106995,0.5996666649977366,,,
shift,id,2,0.05,microhd,1024,16,4,25.0,76.56,0.9539999961853027,0.0393,0.4141776607297077,0.9636666774749756,0.7759999632835388,0.40799999237060547,0.21566666662693024,0.46655554076035816,,,
shift,id,2,0.05,baseline,10000,1024,16,1914.1,1.0,0.9933333396911621,0.0,0.5277738278231078,0.9940000176429749,0.9136666655540466,0.5773333311080933,0.30799999833106995,0.5996666649977366,,,
novel,proj,0,0.005,microhd,128,1024,8,9.8,156.25,1.0,0.0,0.7260762852141409,0.9057142734527588,,,,,0.7938234925711442,0.9026666666666666,0.9150047619047619
novel,proj,0,0.005,baseline,10000,1024,16,1523.4,1.0,1.0,0.0,0.9936128473604645,0.970714271068573,,,,,0.9658548399735812,0.9853333333333333,0.98411
novel,proj,0,0.01,microhd,128,1024,8,9.8,156.25,1.0,0.0,0.7260762852141409,0.9057142734527588,,,,,0.7938234925711442,0.9026666666666666,0.9150047619047619
novel,proj,0,0.01,baseline,10000,1024,16,1523.4,1.0,1.0,0.0,0.9936128473604645,0.970714271068573,,,,,0.9658548399735812,0.9853333333333333,0.98411
novel,proj,0,0.05,microhd,128,1024,4,4.9,312.5,0.9685714244842529,0.0314,0.7177170268529892,0.883571445941925,,,,,0.7865019515469425,0.898,0.9349211904761906
novel,proj,0,0.05,baseline,10000,1024,16,1523.4,1.0,1.0,0.0,0.9936128473604645,0.970714271068573,,,,,0.9658548399735812,0.9853333333333333,0.98411
novel,proj,1,0.005,microhd,128,1024,6,7.3,208.33,0.9971428513526917,0.0029,0.7074373551338619,0.9149999618530273,,,,,0.7998281684108631,0.9046666666666666,0.9115011904761905
novel,proj,1,0.005,baseline,10000,1024,16,1523.4,1.0,1.0,0.0,0.9939427859311192,0.9800000190734863,,,,,0.9687764772763574,0.9866666666666667,0.9821209523809524
novel,proj,1,0.01,microhd,128,1024,6,7.3,208.33,0.9971428513526917,0.0029,0.7074373551338619,0.9149999618530273,,,,,0.7998281684108631,0.9046666666666666,0.9115011904761905
novel,proj,1,0.01,baseline,10000,1024,16,1523.4,1.0,1.0,0.0,0.9939427859311192,0.9800000190734863,,,,,0.9687764772763574,0.9866666666666667,0.9821209523809524
novel,proj,1,0.05,microhd,128,1024,4,4.9,312.5,0.9728571176528931,0.0271,0.713110643411055,0.9114285707473755,,,,,0.8371125069467066,0.9246666666666666,0.9160740476190476
novel,proj,1,0.05,baseline,10000,1024,16,1523.4,1.0,1.0,0.0,0.9939427859311192,0.9800000190734863,,,,,0.9687764772763574,0.9866666666666667,0.9821209523809524
novel,proj,2,0.005,microhd,128,1024,8,9.8,156.25,0.9957142472267151,0.0043,0.714464828521588,0.9200000166893005,,,,,0.7673862839759008,0.886,0.9204304761904761
novel,proj,2,0.005,baseline,10000,1024,16,1523.4,1.0,1.0,0.0,0.9939257307202194,0.9885714054107666,,,,,0.9568198108865651,0.9826666666666667,0.9859985714285715
novel,proj,2,0.01,microhd,128,1024,6,7.3,208.33,0.991428554058075,0.0086,0.7075262161231876,0.9007142782211304,,,,,0.7926068124373128,0.8993333333333333,0.9244888095238095
novel,proj,2,0.01,baseline,10000,1024,16,1523.4,1.0,1.0,0.0,0.9939257307202194,0.9885714054107666,,,,,0.9568198108865651,0.9826666666666667,0.9859985714285715
novel,proj,2,0.05,microhd,128,1024,3,3.7,416.67,0.9542856812477112,0.0457,0.710945033729132,0.9235714077949524,,,,,0.7990052395900709,0.9053333333333333,0.9233559523809525
novel,proj,2,0.05,baseline,10000,1024,16,1523.4,1.0,1.0,0.0,0.9939257307202194,0.9885714054107666,,,,,0.9568198108865651,0.9826666666666667,0.9859985714285715
novel,id,0,0.005,microhd,512,4,8,11.2,142.36,0.9985713958740234,0.0014,0.3683711178011172,0.7607142925262451,,,,,0.3616283612493502,0.5186666666666667,0.644819761904762
novel,id,0,0.005,baseline,10000,1024,16,1601.6,1.0,1.0,0.0,0.5048029642167202,0.9585714340209961,,,,,0.8587219080177397,0.8586666666666667,0.7674828571428571
novel,id,0,0.01,microhd,512,8,6,9.8,164.26,0.991428554058075,0.0086,0.31128907164772135,0.7407142519950867,,,,,0.48576936674856724,0.6786666666666666,0.6388321428571428
novel,id,0,0.01,baseline,10000,1024,16,1601.6,1.0,1.0,0.0,0.5048029642167202,0.9585714340209961,,,,,0.8587219080177397,0.8586666666666667,0.7674828571428571
novel,id,0,0.05,microhd,512,4,6,9.5,168.59,0.9785714149475098,0.0214,0.3501665415433456,0.7335714101791382,,,,,0.2703099693993789,0.434,0.6333207142857142
novel,id,0,0.05,baseline,10000,1024,16,1601.6,1.0,1.0,0.0,0.5048029642167202,0.9585714340209961,,,,,0.8587219080177397,0.8586666666666667,0.7674828571428571
novel,id,1,0.005,microhd,512,4,8,11.2,142.36,1.0,0.0,0.3597418923701404,0.802142858505249,,,,,0.48399093981162383,0.6493333333333333,0.6568419047619047
novel,id,1,0.005,baseline,10000,1024,16,1601.6,1.0,1.0,0.0,0.5099714256655395,0.9749999642372131,,,,,0.8746802527538662,0.856,0.7908602380952381
novel,id,1,0.01,microhd,512,4,6,9.5,168.59,0.9900000095367432,0.01,0.32653237829156057,0.7907142639160156,,,,,0.44429788101838047,0.6293333333333333,0.6439792857142859
novel,id,1,0.01,baseline,10000,1024,16,1601.6,1.0,1.0,0.0,0.5099714256655395,0.9749999642372131,,,,,0.8746802527538662,0.856,0.7908602380952381
novel,id,1,0.05,microhd,512,4,6,9.5,168.59,0.9900000095367432,0.01,0.32653237829156057,0.7907142639160156,,,,,0.44429788101838047,0.6293333333333333,0.6439792857142859
novel,id,1,0.05,baseline,10000,1024,16,1601.6,1.0,1.0,0.0,0.5099714256655395,0.9749999642372131,,,,,0.8746802527538662,0.856,0.7908602380952381
novel,id,2,0.005,microhd,512,4,8,11.2,142.36,0.9985713958740234,0.0014,0.34962928021866113,0.7928571105003357,,,,,0.2148155144536228,0.352,0.6186278571428572
novel,id,2,0.005,baseline,10000,1024,16,1601.6,1.0,1.0,0.0,0.48343227140332395,0.9814285635948181,,,,,0.9456579529614207,0.978,0.7765211904761904
novel,id,2,0.01,microhd,512,4,6,9.5,168.59,0.9928571581840515,0.0071,0.362150724306616,0.7842857241630554,,,,,0.4192805504688534,0.5573333333333333,0.6389073809523809
novel,id,2,0.01,baseline,10000,1024,16,1601.6,1.0,1.0,0.0,0.48343227140332395,0.9814285635948181,,,,,0.9456579529614207,0.978,0.7765211904761904
novel,id,2,0.05,microhd,512,4,6,9.5,168.59,0.9928571581840515,0.0071,0.362150724306616,0.7842857241630554,,,,,0.4192805504688534,0.5573333333333333,0.6389073809523809
novel,id,2,0.05,baseline,10000,1024,16,1601.6,1.0,1.0,0.0,0.48343227140332395,0.9814285635948181,,,,,0.9456579529614207,0.978,0.7765211904761904
