seed,tag,bits,p,mem_frac,id_acc,ood_acc
0,full,2,0.0,1.0,0.9991666674613953,0.6361111203829447
0,full,2,0.05,1.0,0.9991666674613953,0.6325000127156576
0,full,2,0.1,1.0,0.9991666674613953,0.6241666873296102
0,full,2,0.2,1.0,0.996666669845581,0.6294444600741068
0,full,2,0.3,1.0,0.9900000095367432,0.6105555593967438
0,full,2,0.5,1.0,0.0925000011920929,0.07611111303170522
0,full,4,0.0,1.0,0.9991666674613953,0.6361111203829447
0,full,4,0.05,1.0,0.9991666674613953,0.6302777926127116
0,full,4,0.1,1.0,0.9983333349227905,0.6383333404858907
0,full,4,0.2,1.0,0.9983333349227905,0.6544444660345713
0,full,4,0.3,1.0,0.9983333349227905,0.6816666722297668
0,full,4,0.5,1.0,0.08749999850988388,0.09388889123996098
0,full,8,0.0,1.0,0.9991666674613953,0.6361111203829447
0,full,8,0.05,1.0,0.9991666674613953,0.6377777854601542
0,full,8,0.1,1.0,0.9991666674613953,0.6372222304344177
0,full,8,0.2,1.0,0.9991666674613953,0.6227777997652689
0,full,8,0.3,1.0,0.9975000023841858,0.6430555582046509
0,full,8,0.5,1.0,0.12333333492279053,0.08361111084620158
0,loghd_k2_n5,2,0.0,0.4172,0.7133333683013916,0.24500000973542532
0,loghd_k2_n5,2,0.05,0.4172,0.09750000387430191,0.08500000089406967
0,loghd_k2_n5,2,0.1,0.4172,0.08500000089406967,0.08361111332972844
0,loghd_k2_n5,2,0.2,0.4172,0.17000000178813934,0.1244444449742635
0,loghd_k2_n5,2,0.3,0.4172,0.0833333358168602,0.0833333358168602
0,loghd_k2_n5,2,0.5,0.4172,0.0833333358168602,0.0833333358168602
0,loghd_k2_n5,4,0.0,0.4172,0.7133333683013916,0.24500000973542532
0,loghd_k2_n5,4,0.05,0.4172,0.5441666841506958,0.19166666766007742
0,loghd_k2_n5,4,0.1,0.4172,0.2983333468437195,0.1436111181974411
0,loghd_k2_n5,4,0.2,0.4172,0.04749999940395355,0.04472222179174423
0,loghd_k2_n5,4,0.3,0.4172,0.09000000357627869,0.09388889123996098
0,loghd_k2_n5,4,0.5,0.4172,0.0833333358168602,0.0833333358168602
0,loghd_k2_n5,8,0.0,0.4172,0.7133333683013916,0.24500000973542532
0,loghd_k2_n5,8,0.05,0.4172,0.42250001430511475,0.22166667381922403
0,loghd_k2_n5,8,0.1,0.4172,0.24916666746139526,0.18194444477558136
0,loghd_k2_n5,8,0.2,0.4172,0.17416666448116302,0.08027778069178264
0,loghd_k2_n5,8,0.3,0.4172,0.1391666680574417,0.10861111680666606
0,loghd_k2_n5,8,0.5,0.4172,0.08916667103767395,0.08833333601554234
0,feataxis_k2_n5,2,0.0,0.4172,0.9991666674613953,0.6147222419579824
0,feataxis_k2_n5,2,0.05,0.4172,0.9991666674613953,0.624444454908371
0,feataxis_k2_n5,2,0.1,0.4172,0.9975000023841858,0.6002777814865112
0,feataxis_k2_n5,2,0.2,0.4172,0.9950000047683716,0.5227777808904648
0,feataxis_k2_n5,2,0.3,0.4172,0.9775000214576721,0.49250000218550366
0,feataxis_k2_n5,2,0.5,0.4172,0.0716666653752327,0.09638889133930206
0,feataxis_k2_n5,4,0.0,0.4172,0.9991666674613953,0.6147222419579824
0,feataxis_k2_n5,4,0.05,0.4172,0.9991666674613953,0.5952777862548828
0,feataxis_k2_n5,4,0.1,0.4172,0.9991666674613953,0.6147222419579824
0,feataxis_k2_n5,4,0.2,0.4172,0.9975000023841858,0.5866666833559672
0,feataxis_k2_n5,4,0.3,0.4172,0.9925000071525574,0.5663889149824778
0,feataxis_k2_n5,4,0.5,0.4172,0.08833333849906921,0.08916666855414708
0,feataxis_k2_n5,8,0.0,0.4172,0.9991666674613953,0.6147222419579824
0,feataxis_k2_n5,8,0.05,0.4172,0.9991666674613953,0.6141666869322459
