seed,refine_epochs,val_acc,avg_ood_acc
0,0,0.4273333251476288,0.2547777791817983
0,20,0.3619999885559082,0.18422222137451172
1,0,0.4646666646003723,0.22699999312559763
1,20,0.23933333158493042,0.10077777629097302
2,0,0.4560000002384186,0.23866666853427887
2,20,0.33933332562446594,0.23699999849001566
