bits,tag,mem_frac,clean_id,p_id50,p_id90,p_ood90
2,feataxis_k2_n5,0.4172,0.9994444449742635,0.40347744769438476,0.3133270758542707,0.34643323322619046
2,feataxis_k3_n4,0.3337,0.9991666674613953,0.39896030260523196,0.3082986769366033,0.34558319109530267
2,full,1.0,0.9991666674613953,0.40843486596144596,0.31853796032060216,0.35453805473046873
2,hybrid_k2_n5,0.2088,0.7358333667119344,0.03189655140058485,0.0060194905567214655,0.024009288719680586
2,loghd_k2_n5,0.4172,0.7388889193534851,0.03248546422097035,0.007601742915992535,0.027729547984644567
2,loghd_k3_n4,0.3337,0.6947222352027893,0.029987047223936338,0.008795337857626847,0.006131221710761799
4,feataxis_k2_n5,0.4172,0.9994444449742635,0.4084415602726531,0.3194619691129618,0.3389686745099568
4,feataxis_k3_n4,0.3337,0.9991666674613953,0.4134228196203905,0.32145733595561765,0.3595827853675868
4,full,1.0,0.9991666674613953,0.40926605517605763,0.3212660556353961,0.36249002207007064
4,hybrid_k2_n5,0.2088,0.7358333667119344,0.1314853543630982,0.04837350399509145,0.14888198801626426
4,loghd_k2_n5,0.4172,0.7388889193534851,0.13397027349363072,0.045877173059210574,0.15348747330000445
4,loghd_k3_n4,0.3337,0.6947222352027893,0.06346154110671534,0.021021674130164366,0.016762885884126815
8,feataxis_k2_n5,0.4172,0.9994444449742635,0.4141346155301001,0.32190384707172237,0.361453881254322
8,feataxis_k3_n4,0.3337,0.9991666674613953,0.41152030290371033,0.3209442885183574,0.3717523237615585
8,full,1.0,0.9991666674613953,0.4137535821708264,0.32213944672270434,0.3597050654927921
8,hybrid_k2_n5,0.2088,0.7358333667119344,0.06789339967904265,0.013940973274271757,0.07394231071772814
8,loghd_k2_n5,0.4172,0.7388889193534851,0.06899038221819356,0.018034479764922565,0.051468529190619464
8,loghd_k3_n4,0.3337,0.6947222352027893,0.08355048645545576,0.020029501661914653,0.00881778742433451
