seed,stage,value,id_margin,ood_margin,id_acc,avg_ood_acc
0,dim,10000.0,26.50992774963379,6.839957594871521,0.9946666359901428,0.6974444389343262
0,dim,128.0,2.2414050102233887,-0.2867005070050557,0.9539999961853027,0.43622222046057385
0,dim,512.0,5.5728631019592285,0.7556289732456207,0.9886666536331177,0.5790000160535177
0,dim,4096.0,16.861682891845703,4.102486491203308,0.9940000176429749,0.6851110955079397
0,rank,16.0,2.5873429775238037,-8.455159823099772,0.6200000047683716,0.2513333261013031
0,rank,32.0,12.675213813781738,-1.2779072125752766,0.8886666297912598,0.4667777866125107
0,rank,48.0,19.995779037475586,3.314908266067505,0.9726666808128357,0.597222218910853
0,rank,64.0,26.509864807128906,6.839959621429443,0.9946666359901428,0.6974444389343262
0,keep,0.05,5.489558696746826,0.6224062740802765,0.9883333444595337,0.5643333295981089
0,keep,0.1,8.04193115234375,1.7670355439186096,0.9916666746139526,0.6589999993642172
0,keep,0.2,11.611567497253418,2.2967668771743774,0.9946666359901428,0.6403333246707916
0,keep,0.5,18.637060165405273,4.611862421035767,0.9950000047683716,0.6894444425900778
0,keep,1.0,26.50992774963379,6.839957594871521,0.9946666359901428,0.6974444389343262
0,bits,2.0,22.85785484313965,5.863258679707845,0.9946666359901428,0.6932222048441569
0,bits,3.0,25.66067123413086,6.670047203699748,0.9950000047683716,0.699999988079071
0,bits,4.0,26.30313491821289,6.800614237785339,0.9950000047683716,0.6990000108877817
1,dim,10000.0,25.996036529541016,8.131170312563578,0.9959999918937683,0.7485555410385132
1,dim,128.0,2.1989083290100098,-0.20854610204696655,0.9506666660308838,0.4573333412408829
1,dim,512.0,5.52087926864624,1.162356674671173,0.9873332977294922,0.6379999915758768
1,dim,4096.0,16.55774688720703,4.951535880565643,0.9950000047683716,0.7317777673403422
1,rank,16.0,1.9616714715957642,-7.7706089814503985,0.5999999642372131,0.2651111036539078
1,rank,32.0,12.758895874023438,-1.4839704831441243,0.90666663646698,0.46577778458595276
1,rank,48.0,19.923913955688477,4.788910071055095,0.9829999804496765,0.6703333258628845
1,rank,64.0,25.996206283569336,8.13115402062734,0.9959999918937683,0.7485555410385132
1,keep,0.05,5.437896728515625,1.0761048396428425,0.987666666507721,0.6267777681350708
1,keep,0.1,7.9360127449035645,1.7960443298021953,0.9916666746139526,0.6601110895474752
1,keep,0.2,11.44933032989502,3.1075326303641,0.9946666359901428,0.7032222251097361
1,keep,0.5,18.317026138305664,5.594030251105626,0.9953333139419556,0.7384444276491801
1,keep,1.0,25.996036529541016,8.131170312563578,0.9959999918937683,0.7485555410385132
1,bits,2.0,22.531993865966797,7.074953496456146,0.996666669845581,0.7509999672571818
1,bits,3.0,25.171525955200195,7.896683434645335,0.9959999918937683,0.7507777810096741
1,bits,4.0,25.75267219543457,8.051649252573648,0.9963333010673523,0.7471111218134562
2,dim,10000.0,25.704130172729492,7.393056472142537,0.9979999661445618,0.7203333377838135
2,dim,128.0,2.2358319759368896,0.2086779698729515,0.9586666822433472,0.5686666667461395
2,dim,512.0,5.517246723175049,1.1406123240788777,0.9933333396911621,0.6459999879201254
2,dim,4096.0,16.398813247680664,4.624989703297615,0.996666669845581,0.7135555545488993
2,rank,16.0,1.4394326210021973,-8.466302712758383,0.5553333163261414,0.2383333295583725
2,rank,32.0,11.19839859008789,-0.5904216766357422,0.8799999952316284,0.46877776583035785
2,rank,48.0,19.224796295166016,3.7288374106089273,0.9766666293144226,0.6236666639645895
2,rank,64.0,25.704145431518555,7.3929828852415085,0.9979999661445618,0.7203333377838135
2,keep,0.05,5.431337833404541,1.1055778463681538,0.9929999709129333,0.6435555418332418
2,keep,0.1,7.937225341796875,1.9862186511357625,0.9950000047683716,0.6899999876817068
2,keep,0.2,11.351905822753906,3.2899790784964957,0.9953333139419556,0.7226666609446207
2,keep,0.5,18.162586212158203,5.304760367920001,0.9963333010673523,0.7243333160877228
2,keep,1.0,25.704130172729492,7.393056472142537,0.9979999661445618,0.7203333377838135
2,bits,2.0,22.281448364257812,6.426217084129651,0.9983333349227905,0.7194444338480631
2,bits,3.0,24.877660751342773,7.166609155635039,0.9973333477973938,0.7205555438995361
2,bits,4.0,25.516237258911133,7.330822254220645,0.9979999661445618,0.7199999988079071
