encoding,dim,seed,val_acc,id_acc,nmi,ari,hungarian_acc,auroc,geom_fid
proj,64,0,0.7671428322792053,0.7821428775787354,0.5266905250434993,0.4811779649526806,0.716,0.8553471428571429,0.5794893994886134
proj,128,0,0.8671428561210632,0.8828571438789368,0.80694395769172,0.8109631549378027,0.91,0.9214557142857143,0.7151646117030832
proj,256,0,0.9357143044471741,0.925000011920929,0.8921031823614217,0.8984875457430962,0.9526666666666667,0.9659333333333334,0.819361996094097
proj,512,0,0.9571428298950195,0.9557142853736877,0.9197364642089144,0.9247001328132929,0.9653333333333334,0.9741564285714286,0.8929121793662265
proj,1024,0,0.9585714340209961,0.9642857313156128,0.9576584475460267,0.9619551981136545,0.9826666666666667,0.9778369047619045,0.9421817179432717
proj,2048,0,0.9699999690055847,0.9657142758369446,0.9613001900035139,0.9635072418793605,0.9833333333333333,0.9819852380952381,0.9715847848786684
proj,4096,0,0.9742857217788696,0.9657142758369446,0.9581620845149867,0.9606262866260826,0.982,0.983474761904762,0.9849721375529011
proj,10000,0,0.9685714244842529,0.9699999690055847,0.9658548399735812,0.9678204902733796,0.9853333333333333,0.9840219047619048,0.9937255867971191
proj,64,1,0.7757142782211304,0.7849999666213989,0.5257563272885247,0.4805830084127964,0.6833333333333333,0.832767619047619,0.5782815282207562
proj,128,1,0.9085714221000671,0.9099999666213989,0.817556983629009,0.8188314840287912,0.9113333333333333,0.9230492857142858,0.7192076942468242
proj,256,1,0.9457142949104309,0.9528571367263794,0.9021243077010488,0.9111542686414663,0.9586666666666667,0.9487176190476191,0.8128292956506383
proj,512,1,0.9571428298950195,0.970714271068573,0.9448164353711603,0.9492571189268547,0.9766666666666667,0.964074761904762,0.9011192713085135
proj,1024,1,0.9714285731315613,0.9749999642372131,0.9630111919286208,0.9678245613792062,0.9853333333333333,0.975077380952381,0.9468158528975018
proj,2048,1,0.9728571176528931,0.9735714197158813,0.9742253907513155,0.9766212376658306,0.9893333333333333,0.9787242857142857,0.97220750573382
proj,4096,1,0.9742857217788696,0.9742857217788696,0.9728089193209127,0.9751698310850326,0.9886666666666667,0.981327619047619,0.9854337785707713
proj,10000,1,0.9728571176528931,0.9807142615318298,0.9687764772763574,0.9708072684713813,0.9866666666666667,0.9814266666666667,0.9940438955268126
proj,64,2,0.7885714173316956,0.8149999976158142,0.5970858621443539,0.57721057580322,0.7806666666666666,0.83568,0.5862740060909181
proj,128,2,0.9128571152687073,0.9057142734527588,0.8097363177604963,0.8107380207938472,0.9106666666666666,0.9145997619047619,0.7281035055176139
proj,256,2,0.949999988079071,0.9507142901420593,0.881282952715457,0.8841527435060349,0.946,0.9504938095238095,0.8275463476708642
